,,,,
,,,,
,CD23404,26600,,
,CD25699,23600,,
,CD25098,22500,,
,CD24490,24500,,
,CD20166,24200,,
,CD24487,25500,,
,CD23736,23600,,
,CD20167,26400,,
,CD25695,26100,,
,CD26014,24000,,
,CD23378,22500,,
,CD26754,23900,,
,CD25701,28600,,
,CD23445,21600,,
,CD25621,26700,,
,CD25125,21200,,
,CD26144,23900,,
,CD24493,27700,,
,CD26742,26600,,
,CD21736,19800,,
,CD25110,23900,,
,CD25100,24000,,
,CD26062,28700,,
,CD24857,22200,,
,CD24511,24600,,
,CD25736,30800,,
,CD23594,22800,,
,CD23719,32100,,
,CD24534,22500,,
,CD25753,27100,,
,CD26066,29000,,
,CD24494,23100,,
,CD26741,29400,,
,CD26745,22500,,
,CD26069,24900,,
,CD26068,29900,,
,CD26748,25200,,
,CD23735,24000,,
,CD20217,24600,,
,CD24971,25000,,
,CD23598,26800,,
,CD25702,22500,,
,CD26151,22800,,
,CD26052,25800,,
,CD23712,26400,,
,CD24460,30300,,
,CD25564,24000,,
,CD23918,27800,,
,CD24910,23700,,
,CD26693,66000,,
,CD26694,70200,,
,CD24537,22700,,
,CD25114,19700,,
,CD25691,24000,,
,CD23588,19800,,
,CD26140,22200,,
,CD23778,19800,,
,CD25634,20800,,
,CD25096,20900,,
,CD25117,25000,,
,CD25773,25100,,
,CD26360,19000,,
,CD25543,26600,,
,CD24634,23400,,
,CD26703,48200,,
,CD26700,57100,,
,CD22107,57300,,
,CD26702,51100,,
,CD20190,24600,,
,CD21738,23100,,
,CD21806,68500,,
,CD22072,20100,,
,CD22805,30600,,
,CD22806,22100,,
,CD22840,62200,,
,CD22955,71800,,
,CD23110,41200,,
,CD23149,60200,,
,CD23413,27300,,
,CD23593,22400,,
,CD23596,25900,,
,CD23698,24400,,
,CD23777,25900,,
,CD23810,32000,,
,CD23827,25700,,
,CD23828,25400,,
,CD24366,23000,,
,CD24417,26600,,
,CD24481,24200,,
,CD24512,26300,,
,CD24885,27900,,
,CD25086,28400,,
,CD25089,27000,,
,CD25095,23900,,
,CD25118,26000,,
,CD25697,24000,,
,CD25700,22400,,
,CD25717,29300,,
,CD25724,26100,,
,CD25741,24900,,
,CD25743,30800,,
,CD25749,32900,,
,CD25766,22100,,
,CD25779,24200,,
,CD26023,25800,,
,CD26041,25800,,
,CD26092,51200,,
,CD26538,48200,,
,CD26688,69000,,
,CD26701,64900,,
,CD26704,64600,,
,CD26737,29300,,
,CD26744,26700,,
,CD26747,28000,,
,CD26749,24300,,
,CD26753,31500,,
,CD26761,26600,,
